study,author,year,n_1,n_2,yi,paper,n_t
neuroscience,Rincel,2016,7,7,2.287492743,Rincel_2016,14
neuroscience,Rincel,2016,15,14,-0.447300034,Rincel_2016,29
neuroscience,Ignacio,2017,11,10,0.587320714,Ignacio_2017,21
neuroscience,Uribe,2016,5,5,5.658497821,Uribe_2016,10
neuroscience,Zhu,2017,10,10,0.955663036,Zhu_2017,20
neuroscience,Zhu,2017,10,10,-0.30929214,Zhu_2017,20
neuroscience,Yam,2017,6,7,0.649782304,Yam_2017,13
neuroscience,Yam,2017,6,8,0.631410083,Yam_2017,14
neuroscience,Yan,2017,6,6,2.570217004,Yan_2017,12
neuroscience,Yan,2017,8,6,2.001552107,Yan_2017,14
neuroscience,Butkevich,2017,12,9,1.83862827,Butkevich_2017,21
neuroscience,Butkevich,2017,12,9,1.434146633,Butkevich_2017,21
neuroscience,Butkevich,2017,12,9,1.963844981,Butkevich_2017,21
neuroscience,Butkevich,2017,12,9,0.497403664,Butkevich_2017,21
neuroscience,Banqueri,2017,5,10,0.465076035,Banqueri_2017,15
neuroscience,Banqueri,2017,10,10,-1.183807162,Banqueri_2017,20
neuroscience,Banqueri,2017,5,10,0.12637546,Banqueri_2017,15
neuroscience,Banqueri,2017,5,10,-1.429313198,Banqueri_2017,15
neuroscience,Banqueri,2017,5,10,0.097730817,Banqueri_2017,15
neuroscience,Banqueri,2017,5,10,0.383411804,Banqueri_2017,15
neuroscience,Amini-Khoei,2017,7,7,0.833803246,Amini-Khoei_2017,14
neuroscience,Amini-Khoei,2017,7,7,1.129501604,Amini-Khoei_2017,14
neuroscience,Bahi,2017,10,10,2.110733296,Bahi_2017,20
neuroscience,Bahi,2017,10,10,2.638158611,Bahi_2017,20
neuroscience,Bahi,2017,10,10,3.02676951,Bahi_2017,20
neuroscience,Bahi,2017,10,10,1.920051741,Bahi_2017,20
neuroscience,Bahi,2017,10,10,2.636947533,Bahi_2017,20
neuroscience,Bahi,2017,10,10,3.192154757,Bahi_2017,20
neuroscience,Farkas,2017,6,6,-0.432518105,Farkas_2017,12
neuroscience,Farkas,2017,6,6,0.054452775,Farkas_2017,12
neuroscience,Bath KG,2017,11,16,0.007583229,Bath KG_2017,27
neuroscience,Bath KG,2017,11,10,-0.574693478,Bath KG_2017,21
neuroscience,Kanatsou,2017,9,10,0.477079381,Kanatsou_2017,19
neuroscience,Kanatsou,2017,9,10,-0.036314066,Kanatsou_2017,19
neuroscience,Kanatsou,2017,11,11,0.031430076,Kanatsou_2017,22
neuroscience,Kanatsou,2017,11,11,0.739377202,Kanatsou_2017,22
neuroscience,Kanatsou,2017,11,11,3.220380062,Kanatsou_2017,22
neuroscience,Recamier-Carballo,2017,10,10,1.56917651,Recamier-Carballo_2017,20
neuroscience,Recamier-Carballo,2017,10,10,0.930044714,Recamier-Carballo_2017,20
neuroscience,Wang Q,2017,7,7,1.212713835,Wang Q_2017,14
neuroscience,Wang Q,2017,7,7,1.483635123,Wang Q_2017,14
neuroscience,Campbell,2017,7,7,0.437483872,Campbell_2017,14
neuroscience,Banqueri,2017,5,10,0.174185321,Banqueri_2017,15
neuroscience,Banqueri,2017,5,10,-0.596431423,Banqueri_2017,15
neuroscience,Menezes,2017,11,11,-2.004905212,Menezes_2017,22
neuroscience,Menezes,2017,11,11,-0.108557588,Menezes_2017,22
neuroscience,Bolton JL,2017,5,6,0.173971636,Bolton JL_2017,11
neuroscience,Bolton JL,2017,5,6,1.338719218,Bolton JL_2017,11
neuroscience,Sahafi E,2018,6,6,0.819740539,Sahafi E_2018,12
neuroscience,Loi M,2017,8,7,1.40447475,Loi M_2017,15
neuroscience,Loi M,2017,12,12,-0.34501023,Loi M_2017,24
neuroscience,Nguyen HB,2017,12,11,-0.393700661,Nguyen HB_2017,23
neuroscience,do Couto,2012,6,6,1.267010544,do Couto_2012,12
neuroscience,do Couto,2012,6,6,-0.670117865,do Couto_2012,12
neuroscience,Lujan,2008,11,10,1.33224029,Lujan_2008,21
neuroscience,Lujan,2008,10,11,-0.587274766,Lujan_2008,21
neuroscience,Lujan,2008,11,12,-0.053432757,Lujan_2008,23
neuroscience,Lujan,2008,8,8,0.129678866,Lujan_2008,16
neuroscience,Rodriguez,2013,10,11,-1.644855359,Rodriguez_2013,21
neuroscience,Rodriguez,2013,16,11,0.079019658,Rodriguez_2013,27
neuroscience,Dordevic,2015,8,8,-1.105758172,Dordevic_2015,16
neuroscience,Dordevic,2015,8,8,0.711219141,Dordevic_2015,16
neuroscience,Dordevic,2015,8,8,-4.792736363,Dordevic_2015,16
neuroscience,Dordevic,2015,8,8,1.324747653,Dordevic_2015,16
neuroscience,Lehmann,2000,2,4,1.085611886,Lehmann_2000,6
neuroscience,Lehmann,2000,2,4,0.476216754,Lehmann_2000,6
neuroscience,Lehmann,2000,2,4,1.149453431,Lehmann_2000,6
neuroscience,Lehmann,2000,2,4,0.705906012,Lehmann_2000,6
neuroscience,Lehmann,2000,2,4,-4.523859799,Lehmann_2000,6
neuroscience,Lehmann,2000,2,4,1.239731627,Lehmann_2000,6
neuroscience,Lehmann,2000,2,4,1.273584878,Lehmann_2000,6
neuroscience,Lehmann,2000,2,4,-0.537058002,Lehmann_2000,6
neuroscience,Adrover,2007,6,15,0.472689569,Adrover_2007,21
neuroscience,Adrover,2007,6,15,1.099349667,Adrover_2007,21
neuroscience,Adrover,2007,6,15,0.896839697,Adrover_2007,21
neuroscience,Adrover,2007,6,15,0.87289787,Adrover_2007,21
neuroscience,Adrover,2007,6,15,1.337976022,Adrover_2007,21
neuroscience,Adrover,2007,6,15,1.431485469,Adrover_2007,21
neuroscience,Adrover,2007,6,15,0.044394498,Adrover_2007,21
neuroscience,Adrover,2007,6,15,-0.186721381,Adrover_2007,21
neuroscience,ALONSO,1994,15,14,0.406316983,ALONSO_1994,29
neuroscience,ALONSO,1994,15,14,-0.405226746,ALONSO_1994,29
neuroscience,ALONSO,1994,15,14,0.172600959,ALONSO_1994,29
neuroscience,ALONSO,1994,15,14,0.301678425,ALONSO_1994,29
neuroscience,ALONSO,1994,15,14,-0.224955453,ALONSO_1994,29
neuroscience,ALONSO,1994,15,14,0.574770346,ALONSO_1994,29
neuroscience,ALONSO,1994,15,14,0.046228003,ALONSO_1994,29
neuroscience,ALONSO,1994,15,14,0.122678837,ALONSO_1994,29
neuroscience,ALONSO,1994,15,14,0.251096017,ALONSO_1994,29
neuroscience,ALONSO,1994,15,14,-0.214177772,ALONSO_1994,29
neuroscience,ALONSO,1994,15,14,0.146805389,ALONSO_1994,29
neuroscience,ALONSO,1994,15,14,-0.055985165,ALONSO_1994,29
neuroscience,Baharnoori,2013,6,6,0.264261693,Baharnoori_2013,12
neuroscience,Baharnoori,2013,6,6,0.37663086,Baharnoori_2013,12
neuroscience,Baharnoori,2013,6,6,0.420437779,Baharnoori_2013,12
neuroscience,Baharnoori,2013,6,6,0.056459353,Baharnoori_2013,12
neuroscience,Baharnoori,2013,6,6,0.215057447,Baharnoori_2013,12
neuroscience,Baharnoori,2013,6,6,-0.284134633,Baharnoori_2013,12
neuroscience,Baharnoori,2013,6,6,-0.404407757,Baharnoori_2013,12
neuroscience,Baharnoori,2013,6,6,-1.474953833,Baharnoori_2013,12
neuroscience,Baharnoori,2013,6,6,-1.427792094,Baharnoori_2013,12
neuroscience,Baharnoori,2013,6,6,-1.797019963,Baharnoori_2013,12
neuroscience,Baharnoori,2013,6,6,0.365473353,Baharnoori_2013,12
neuroscience,Baharnoori,2013,6,6,-0.99101168,Baharnoori_2013,12
neuroscience,Baier,2014,5,5,-19.34364286,Baier_2014,10
neuroscience,Baier,2014,5,5,-2.92926317,Baier_2014,10
neuroscience,Baier,2014,4,4,-0.356256462,Baier_2014,8
neuroscience,Baier,2014,6,5,-0.172963699,Baier_2014,11
neuroscience,Bakos,2004,8,8,-0.929611241,Bakos_2004,16
neuroscience,Basta,2011,7,7,12.73915843,Basta_2011,14
neuroscience,Basta,2011,7,7,1.980863351,Basta_2011,14
neuroscience,Basta,2011,7,7,-2.419039714,Basta_2011,14
neuroscience,Basta,2011,7,7,-0.556110936,Basta_2011,14
neuroscience,Basta,2011,7,7,2.84152993,Basta_2011,14
neuroscience,Basta,2011,7,7,1.806410765,Basta_2011,14
neuroscience,Basta,2011,7,7,-4.171997063,Basta_2011,14
neuroscience,Basta,2011,7,7,-0.822967483,Basta_2011,14
neuroscience,Berger,2002,5,5,0.785240932,Berger_2002,10
neuroscience,Berger,2002,5,5,2.022424441,Berger_2002,10
neuroscience,Berger,2002,5,5,0.105571142,Berger_2002,10
neuroscience,Berger,2002,5,5,1.062011243,Berger_2002,10
neuroscience,Berger,2002,5,5,1.748903627,Berger_2002,10
neuroscience,Berger,2002,5,5,0.490388251,Berger_2002,10
neuroscience,Bingham,2013,6,6,0.84912488,Bingham_2013,12
neuroscience,Bingham,2013,5,6,-2.034987274,Bingham_2013,11
neuroscience,Bitanihirwe,2010,14,14,-0.234219441,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.168265841,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.107307615,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.015574754,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.019757883,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.104089984,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.077141075,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.137373268,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.117862707,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.066332699,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.185957954,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.114552276,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-1.192059412,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.541872832,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.128308018,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.159075858,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.252966976,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.490967833,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.670069233,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.515624354,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.442703442,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.842407191,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.474638159,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.510882605,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.469198102,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.051096122,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.158206021,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.311258301,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.541286296,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.084839481,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.336241841,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.353027752,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.234599051,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.851471008,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.340588403,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.686477873,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.277378948,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.129443509,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.851471008,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.340588403,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,0.283386681,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.170294202,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.588409606,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-1.02971681,Bitanihirwe_2010,28
neuroscience,Bitanihirwe,2010,14,14,-0.686477873,Bitanihirwe_2010,28
neuroscience,Brenhouse,2013,5,6,-0.58180334,Brenhouse_2013,11
neuroscience,Brenhouse,2013,5,6,-1.615742945,Brenhouse_2013,11
neuroscience,Brenhouse,2013,6,6,0.159822325,Brenhouse_2013,12
neuroscience,Brenhouse,2013,6,6,0.333571788,Brenhouse_2013,12
neuroscience,Cabib,1993,9,9,-0.199653051,Cabib_1993,18
neuroscience,Cabib,1993,9,9,-0.323244322,Cabib_1993,18
neuroscience,Cabib,1993,9,9,-0.124145497,Cabib_1993,18
neuroscience,Cabib,1993,9,9,0.285596829,Cabib_1993,18
neuroscience,Cai Z,2013,4,4,-3.577385887,Cai Z_2013,8
neuroscience,Cai Z,2013,4,4,-5.719946765,Cai Z_2013,8
neuroscience,Cai Z,2013,9,16,-1.809323673,Cai Z_2013,25
neuroscience,Camp,1984,8,10,0.136800428,Camp_1984,18
neuroscience,Camp,1984,12,8,0.040136191,Camp_1984,20
neuroscience,Camp,1984,7,12,0.397046064,Camp_1984,19
neuroscience,Camp,1984,12,14,0.449647055,Camp_1984,26
neuroscience,Camp,1984,8,11,0.643471364,Camp_1984,19
neuroscience,Camp,1984,11,7,0.155181344,Camp_1984,18
neuroscience,Camp,1984,10,6,-0.2437951,Camp_1984,16
neuroscience,Camp,1984,8,13,-0.032961219,Camp_1984,21
neuroscience,Carboni,2010,20,20,0.056171548,Carboni_2010,40
neuroscience,Chocyk,2011,9,9,0.044666897,Chocyk_2011,18
neuroscience,Chocyk,2011,9,9,0.20039679,Chocyk_2011,18
neuroscience,Chocyk,2011,3,5,0.417223667,Chocyk_2011,8
neuroscience,Chocyk,2011,3,5,0.079522598,Chocyk_2011,8
neuroscience,Choy,2009,8,8,0.23857952,Choy_2009,16
neuroscience,Choy,2009,8,8,0.099766879,Choy_2009,16
neuroscience,Choy,2009,8,8,-0.006213001,Choy_2009,16
neuroscience,Choy,2009,8,8,-0.114773151,Choy_2009,16
neuroscience,Choy,2008,8,8,0.23857952,Choy_2008,16
neuroscience,Choy,2008,8,8,0.099766879,Choy_2008,16
neuroscience,Choy,2008,8,8,-0.006213001,Choy_2008,16
neuroscience,Choy,2008,8,8,-0.114773151,Choy_2008,16
neuroscience,Cory,2009,6,6,-0.310619035,Cory_2009,12
neuroscience,Cory,2009,6,6,0.017720026,Cory_2009,12
neuroscience,Cory,2009,9,9,0.074175017,Cory_2009,18
neuroscience,Cory,2009,9,9,0.479607787,Cory_2009,18
neuroscience,Cory,2009,9,9,0.821710304,Cory_2009,18
neuroscience,Cory,2009,9,9,0.304031251,Cory_2009,18
neuroscience,Cory,2009,9,9,0.234963304,Cory_2009,18
neuroscience,Cory,2009,9,9,-0.246694573,Cory_2009,18
neuroscience,Cory,2009,9,9,-0.255910529,Cory_2009,18
neuroscience,Cory,2009,9,9,0,Cory_2009,18
neuroscience,Cory,2009,9,9,-0.044611719,Cory_2009,18
neuroscience,Cory,2009,9,9,-0.034788792,Cory_2009,18
neuroscience,Cory,2009,9,9,0.227125793,Cory_2009,18
neuroscience,Cory,2009,9,9,0,Cory_2009,18
neuroscience,Cory,2009,9,9,0.915943714,Cory_2009,18
neuroscience,Cory,2009,9,9,0.211466974,Cory_2009,18
neuroscience,Cory,2013,12,9,0.891904773,Cory_2013,21
neuroscience,Cory,2013,12,9,-2.445704308,Cory_2013,21
neuroscience,Cory,2013,12,9,0.197513916,Cory_2013,21
neuroscience,Cory,2013,12,9,-0.192702604,Cory_2013,21
neuroscience,Cory,2013,12,9,-0.202103189,Cory_2013,21
neuroscience,Cory,2013,12,9,-0.677202106,Cory_2013,21
neuroscience,Cory,2013,12,9,-0.20344045,Cory_2013,21
neuroscience,Cory,2013,12,9,-0.317138638,Cory_2013,21
neuroscience,Cory,2013,12,9,-1.492945736,Cory_2013,21
neuroscience,Cory,2013,12,9,-0.207620447,Cory_2013,21
neuroscience,Cory,2013,12,9,0.171869031,Cory_2013,21
neuroscience,Cory,2013,12,9,-0.717868936,Cory_2013,21
neuroscience,Cory,2013,12,9,-0.053361462,Cory_2013,21
neuroscience,Cory,2013,12,9,-0.405079166,Cory_2013,21
neuroscience,Cory,2013,12,9,-0.407591506,Cory_2013,21
neuroscience,Cory,2013,12,9,-0.761029942,Cory_2013,21
neuroscience,Cory,2013,12,9,0.492450106,Cory_2013,21
neuroscience,Cory,2013,12,9,0.346181396,Cory_2013,21
neuroscience,Dalle,2016,10,10,-0.436275206,Dalle_2016,20
neuroscience,Delattre AM,2016,4,4,-3.286374221,Delattre AM_2016,8
neuroscience,Delattre,2016,4,4,-2.481208067,Delattre_2016,8
neuroscience,Delattre,2016,4,4,0.993470527,Delattre_2016,8
neuroscience,Delattre,2016,4,4,0.105336458,Delattre_2016,8
neuroscience,Fan LW,2011,6,6,-3.702881435,Fan LW_2011,12
neuroscience,Fan LW,2011,5,6,1.422109631,Fan LW_2011,11
neuroscience,Fan LW,2011,5,6,0.283840458,Fan LW_2011,11
neuroscience,Gerardin,2005,8,8,0.736547013,Gerardin_2005,16
neuroscience,Gerardin,2005,8,8,0.682921461,Gerardin_2005,16
neuroscience,Gerardin,2005,8,8,0.959795526,Gerardin_2005,16
neuroscience,Gerardin,2005,8,8,0.514620365,Gerardin_2005,16
neuroscience,Gerardin,2005,8,8,0.768128308,Gerardin_2005,16
neuroscience,Gondre-Lewis MC,2016,3,5,-0.085400697,Gondre-Lewis MC_2016,8
neuroscience,Gracia,2016,5,4,-1.358927548,Gracia_2016,9
neuroscience,Gracia,2016,5,5,-2.997084544,Gracia_2016,10
neuroscience,Granholm,2011,4,5,0.372352121,Granholm_2011,9
neuroscience,Granholm,2011,4,5,-0.16538543,Granholm_2011,9
neuroscience,Granholm,2011,6,6,-0.216313099,Granholm_2011,12
neuroscience,Granholm,2011,5,7,0.565163951,Granholm_2011,12
neuroscience,Granholm,2011,5,7,-0.203134159,Granholm_2011,12
neuroscience,Granholm,2011,5,7,0.357997652,Granholm_2011,12
neuroscience,Hall,1999,8,6,0.025875554,Hall_1999,14
neuroscience,Hensleigh,2015,10,10,-0.009916973,Hensleigh_2015,20
neuroscience,Hensleigh,2015,10,10,0.171252382,Hensleigh_2015,20
neuroscience,Hensleigh,2015,4,4,-0.08003897,Hensleigh_2015,8
neuroscience,Hensleigh,2015,6,6,-0.002090657,Hensleigh_2015,12
neuroscience,Hensleigh,2014,8,8,1.417926803,Hensleigh_2014,16
neuroscience,Hensleigh,2014,10,10,1.223885084,Hensleigh_2014,20
neuroscience,Hermel,2001,4,4,0.796376335,Hermel_2001,8
neuroscience,Hermel,2001,10,10,0.630206698,Hermel_2001,20
neuroscience,Hermel,2001,4,5,0.337494868,Hermel_2001,9
neuroscience,Hill,2014,6,6,0.945839006,Hill_2014,12
neuroscience,Hill,2014,6,6,0.492329796,Hill_2014,12
neuroscience,Hill,2014,6,6,1.328768345,Hill_2014,12
neuroscience,Hill,2014,6,6,0.949036451,Hill_2014,12
neuroscience,Hill,2014,6,6,-0.16912157,Hill_2014,12
neuroscience,Hill,2014,6,6,0.687178786,Hill_2014,12
neuroscience,Hill,2014,6,6,-1.511421133,Hill_2014,12
neuroscience,Hill,2014,6,6,-0.813732568,Hill_2014,12
neuroscience,Jahng,2010,5,5,-0.71788275,Jahng_2010,10
neuroscience,Jahng,2010,5,5,-0.290283042,Jahng_2010,10
neuroscience,Jahng,2010,8,9,0.436361635,Jahng_2010,17
neuroscience,Jahng,2010,7,7,0.626617398,Jahng_2010,14
neuroscience,Jahng,2012,7,8,-0.38128361,Jahng_2012,15
neuroscience,Jahng,2012,7,8,0.456769371,Jahng_2012,15
neuroscience,Jahng,2012,7,8,-0.413730381,Jahng_2012,15
neuroscience,Jahng,2012,7,8,0.187365405,Jahng_2012,15
neuroscience,Jahng,2012,7,8,0.445358807,Jahng_2012,15
neuroscience,Jahng,2012,7,8,0.141286693,Jahng_2012,15
neuroscience,Katunar,2010,6,6,-1.412264798,Katunar_2010,12
neuroscience,Katunar,2010,6,6,-0.612351011,Katunar_2010,12
neuroscience,Kawakami,2013,8,11,0.575135634,Kawakami_2013,19
neuroscience,Kawakami,2013,9,11,-0.054711289,Kawakami_2013,20
neuroscience,Kawakami,2013,8,11,0.726507993,Kawakami_2013,19
neuroscience,Kawakami,2013,9,11,0,Kawakami_2013,20
neuroscience,Kawakami,2013,8,11,1.222907005,Kawakami_2013,19
neuroscience,Kawakami,2013,9,11,-0.289358451,Kawakami_2013,20
neuroscience,Kawakami,2013,8,11,0.18667757,Kawakami_2013,19
neuroscience,Kawakami,2013,9,11,-0.280735913,Kawakami_2013,20
neuroscience,Kawakami,2013,8,11,0.39060565,Kawakami_2013,19
neuroscience,Kawakami,2013,9,11,-0.050041791,Kawakami_2013,20
neuroscience,Kawakami,2013,8,11,0.369659495,Kawakami_2013,19
neuroscience,Kawakami,2013,9,11,-0.031641529,Kawakami_2013,20
neuroscience,Kawakami,2013,8,11,0.198963785,Kawakami_2013,19
neuroscience,Kawakami,2013,9,11,0.500833479,Kawakami_2013,20
neuroscience,Kawakami,2013,8,11,-0.103489016,Kawakami_2013,19
neuroscience,Kawakami,2013,9,11,0.845438602,Kawakami_2013,20
neuroscience,Kawakami,2013,8,11,0.310467047,Kawakami_2013,19
neuroscience,Kawakami,2013,9,11,1.260405968,Kawakami_2013,20
neuroscience,Kikusui,2005,5,5,0.327183722,Kikusui_2005,10
neuroscience,Kikusui,2005,5,5,-0.382996232,Kikusui_2005,10
neuroscience,Kirsten,2012,7,7,-0.130939156,Kirsten_2012,14
neuroscience,Kirsten,2012,7,7,0.51066907,Kirsten_2012,14
neuroscience,Kirsten,2012,7,7,-0.275645824,Kirsten_2012,14
neuroscience,Kirsten,2012,4,4,-5.681251839,Kirsten_2012,8
neuroscience,Kirsten,2012,4,4,-1.687085844,Kirsten_2012,8
neuroscience,Kubesova,2015,19,24,2.69952812,Kubesova_2015,43
neuroscience,Kubesova,2015,19,24,2.320568893,Kubesova_2015,43
neuroscience,Kubesova,2015,19,24,3.462927244,Kubesova_2015,43
neuroscience,Kubesova,2015,19,24,-2.869427104,Kubesova_2015,43
neuroscience,Kubesova,2015,19,24,1.033225514,Kubesova_2015,43
neuroscience,Kubesova,2015,19,24,1.34690639,Kubesova_2015,43
neuroscience,Kubesova,2015,19,24,-10.98601946,Kubesova_2015,43
neuroscience,Kubesova,2015,19,24,-1.323221085,Kubesova_2015,43
neuroscience,Kubesova,2015,19,24,1.758486314,Kubesova_2015,43
neuroscience,Kubesova,2015,19,24,2.027910803,Kubesova_2015,43
neuroscience,Kubesova,2015,19,24,2.134796238,Kubesova_2015,43
neuroscience,Kubesova,2015,19,24,-1.890232981,Kubesova_2015,43
neuroscience,Kubesova,2015,5,7,0.160766843,Kubesova_2015,12
neuroscience,Lazzaretti,2016,6,7,0.553403605,Lazzaretti_2016,13
neuroscience,Lazzaretti,2016,6,7,-0.15609837,Lazzaretti_2016,13
neuroscience,Lazzaretti,2016,6,7,-0.258939295,Lazzaretti_2016,13
neuroscience,Lazzaretti,2016,6,7,-0.319778262,Lazzaretti_2016,13
neuroscience,Lazzaretti,2016,6,7,-0.511629398,Lazzaretti_2016,13
neuroscience,Lazzaretti,2016,6,7,0.051576973,Lazzaretti_2016,13
neuroscience,Lejeune,2013,10,10,0.269190844,Lejeune_2013,20
neuroscience,Lejeune,2013,10,10,0.127340154,Lejeune_2013,20
neuroscience,Lejeune,2013,10,10,-0.813942235,Lejeune_2013,20
neuroscience,Lejeune,2013,10,10,-0.599482476,Lejeune_2013,20
neuroscience,Lejeune,2013,10,10,-1.038084186,Lejeune_2013,20
neuroscience,Lejeune,2013,10,10,-1.140401768,Lejeune_2013,20
neuroscience,Lejeune,2013,12,12,-0.06077483,Lejeune_2013,24
neuroscience,Lejeune,2013,12,12,-0.279031982,Lejeune_2013,24
neuroscience,Lejeune,2013,12,12,-0.306239829,Lejeune_2013,24
neuroscience,Lejeune,2013,12,12,-0.124678788,Lejeune_2013,24
neuroscience,Lejeune,2013,7,8,0.213578212,Lejeune_2013,15
neuroscience,Lejeune,2013,7,8,-1.199346873,Lejeune_2013,15
neuroscience,Lejeune,2013,7,8,-0.435205164,Lejeune_2013,15
neuroscience,Li WY,2014,10,10,0.227134962,Li WY_2014,20
neuroscience,ling et al,2004,4,4,0.396527413,ling et al_2004,8
neuroscience,ling et al,2004,4,4,1.074727848,ling et al_2004,8
neuroscience,ling et al,2004,5,5,-9.95789806,ling et al_2004,10
neuroscience,ling et al,2004,5,5,-1.327666695,ling et al_2004,10
neuroscience,ling,2004,6,6,-1.565140635,ling_2004,12
neuroscience,ling,2004,6,6,-1.025940485,ling_2004,12
neuroscience,Ling,2004,5,7,-0.460861776,Ling_2004,12
neuroscience,Ling,2004,5,7,5.325370438,Ling_2004,12
neuroscience,Ling,2004,6,6,0.759003473,Ling_2004,12
neuroscience,Ling,2004,6,6,-0.665470731,Ling_2004,12
neuroscience,Ling,2004,6,6,0.625630943,Ling_2004,12
neuroscience,Ling,2004,10,10,0.109668745,Ling_2004,20
neuroscience,Ling,2009,5,6,-0.338807503,Ling_2009,11
neuroscience,Ling,2009,5,6,0.64829765,Ling_2009,11
neuroscience,Ling,2009,5,6,0.047023595,Ling_2009,11
neuroscience,Ling,2009,5,6,-0.113340125,Ling_2009,11
neuroscience,Ling,2009,5,6,-0.753970221,Ling_2009,11
neuroscience,Ling,2009,5,6,-0.024243283,Ling_2009,11
neuroscience,Ling,2009,5,6,-1.315799906,Ling_2009,11
neuroscience,Ling,2009,5,6,0.435677313,Ling_2009,11
neuroscience,Ling,2009,5,6,-0.918416632,Ling_2009,11
neuroscience,Ling,2009,5,6,1.007628538,Ling_2009,11
neuroscience,Ling,2009,5,5,-1.323044483,Ling_2009,10
neuroscience,Ling,2009,6,6,0.416980683,Ling_2009,12
neuroscience,Ling,2009,6,6,1.302656796,Ling_2009,12
neuroscience,Ling,2009,10,10,0.522087581,Ling_2009,20
neuroscience,Ling,2009,7,7,-1.76139976,Ling_2009,14
neuroscience,Liu,2016,10,12,-0.38250788,Liu_2016,22
neuroscience,Liu,2016,10,12,-0.087146247,Liu_2016,22
neuroscience,Liu,2016,10,12,-0.038272735,Liu_2016,22
neuroscience,Liu,2016,10,12,0.117050576,Liu_2016,22
neuroscience,Liu,2016,10,12,-0.193565701,Liu_2016,22
neuroscience,Liu,2016,10,12,0.077304603,Liu_2016,22
neuroscience,Liu,2016,10,12,-0.174111545,Liu_2016,22
neuroscience,Liu,2016,10,12,-0.276273194,Liu_2016,22
neuroscience,Liu,2016,10,12,0.27982318,Liu_2016,22
neuroscience,Lovic,2013,13,13,0.912207001,Lovic_2013,26
neuroscience,Lovic,2013,13,13,0.941065257,Lovic_2013,26
neuroscience,Lovic,2013,13,13,-0.296927746,Lovic_2013,26
neuroscience,Lovic,2013,13,13,-0.062118708,Lovic_2013,26
neuroscience,Lovic,2013,13,13,0.225693636,Lovic_2013,26
